Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Thailand,1980,27.519,7.596,3.594,66.697,60.789,63.6709512195122,2.14747594418081,46397977.0,0.0,0.0,tha,East Asia & Pacific
Thailand,1981,26.53,7.387,3.392,67.249,61.264,64.183512195122,2.07150393442842,47369137.0,0.0,0.0,tha,East Asia & Pacific
Thailand,1982,25.581,7.161,3.202,67.862,61.836,64.775512195122,1.98656319189498,48319564.0,0.0,0.0,tha,East Asia & Pacific
Thailand,1983,24.67,6.917,3.024,68.544,62.515,65.4559756097561,1.9020653108372,49247430.0,0.0,0.0,tha,East Asia & Pacific
Thailand,1984,23.8,6.656,2.859,69.288,63.29,66.2158536585366,1.84664687798894,50165305.0,0.0,0.0,tha,East Asia & Pacific
Thailand,1985,22.972,6.389,2.707,70.075,64.131,67.030512195122,1.82727646060534,51090390.0,0.0,0.0,tha,East Asia & Pacific
Thailand,1986,22.197,6.133,2.571,70.868,64.981,67.8527073170732,1.82610556022851,52031925.0,0.0,0.0,tha,East Asia & Pacific
Thailand,1987,21.483,5.912,2.451,71.62,65.767,68.6221219512195,1.84955146551469,53003237.0,821.0,0.0015489620001887,tha,East Asia & Pacific
Thailand,1988,20.832,5.745,2.346,72.289,66.428,69.2870243902439,1.85023844605527,53993052.0,5882.0,0.0108939942865241,tha,East Asia & Pacific
Thailand,1989,20.241,5.644,2.256,72.846,66.923,69.8122682926829,1.7690885884888,54956736.0,17563.0,0.0319578659111051,tha,East Asia & Pacific
Thailand,1990,19.702,5.612,2.179,73.282,67.238,70.1862926829268,1.58245841972345,55833321.0,39936.0,0.0715271799791383,tha,East Asia & Pacific
Thailand,1991,19.204,5.646,2.113,73.598,67.376,70.4111219512195,1.33329025801106,56582726.0,63223.0,0.111735514474859,tha,East Asia & Pacific
Thailand,1992,18.733,5.734,2.055,73.814,67.364,70.5103414634146,1.05760605999282,57184324.0,123551.0,0.216057463580404,tha,East Asia & Pacific
Thailand,1993,18.273,5.856,2.003,73.97,67.263,70.5347073170732,0.83012475665471,57661001.0,250584.0,0.434581425320729,tha,East Asia & Pacific
