Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Tonga,1980,34.299,6.068,5.541,68.489,66.174,67.3032682926829,1.02254499517283,92300.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1981,34.599,6.053,5.553,68.789,66.37,67.55,0.763061762909846,93007.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1982,34.706,6.027,5.532,69.092,66.569,67.7997317073171,0.476247561598981,93451.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1983,34.61,5.994,5.475,69.394,66.769,68.0494878048781,0.246883358179931,93682.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1984,34.324,5.957,5.385,69.69,66.967,68.2952926829268,0.0981563752417527,93774.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1985,33.864,5.919,5.266,69.976,67.16,68.5336585365854,0.0682259157010747,93838.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1986,33.286,5.887,5.128,70.244,67.346,68.7596585365854,0.122476598319943,93953.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1987,32.676,5.868,4.989,70.482,67.522,68.9659024390244,0.208397646952158,94149.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1988,32.119,5.866,4.864,70.688,67.689,69.1519268292683,0.269421860966604,94403.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1989,31.672,5.881,4.763,70.861,67.843,69.3151951219512,0.30038628541843,94687.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1990,31.352,5.915,4.691,71.004,67.985,69.4576829268293,0.279478559251059,94952.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1991,31.13,5.962,4.644,71.123,68.115,69.5823170731707,0.224072638554332,95165.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1992,30.944,6.018,4.612,71.224,68.235,69.6930487804878,0.163791601352326,95321.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1993,30.721,6.075,4.583,71.321,68.346,69.7972195121951,0.127906750364647,95443.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1994,30.415,6.127,4.547,71.424,68.45,69.9007317073171,0.122511180069172,95560.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1995,30.026,6.17,4.501,71.541,68.545,70.0064634146342,0.158935998992863,95712.0,0.0,0.0,ton,East Asia & Pacific
Tonga,1996,29.585,6.202,4.447,71.683,68.63,70.1192682926829,0.225422762959463,95928.0,300.0,0.312734550913185,ton,East Asia & Pacific
Tonga,1997,29.148,6.224,4.391,71.855,68.699,70.238512195122,0.301854027871117,96218.0,302.0,0.313870585545324,ton,East Asia & Pacific
Tonga,1998,28.778,6.238,4.34,72.057,68.751,70.3636829268293,0.369310349624427,96574.0,120.0,0.124257046410007,ton,East Asia & Pacific
Tonga,1999,28.517,6.248,4.3,72.284,68.787,70.4928536585366,0.430863684148497,96991.0,130.0,0.134033054613315,ton,East Asia & Pacific
Tonga,2000,28.375,6.254,4.27,72.533,68.808,70.6250731707317,0.479306438879208,97457.0,140.0,0.143653098289502,ton,East Asia & Pacific
Tonga,2001,28.347,6.257,4.25,72.8,68.818,70.7604390243903,0.516839328971769,97962.0,180.0,0.183744717339377,ton,East Asia & Pacific
Tonga,2002,28.412,6.257,4.236,73.079,68.822,70.8985853658537,0.551750811848791,98504.0,236.0,0.239584179322667,ton,East Asia & Pacific
Tonga,2003,28.519,6.255,4.221,73.36,68.824,71.0366829268293,0.586072623497963,99083.0,3354.0,3.38504082435938,ton,East Asia & Pacific
Tonga,2004,28.619,6.251,4.202,73.635,68.833,71.1754390243902,0.611751935515036,99691.0,11200.0,11.2347152701849,ton,East Asia & Pacific
Tonga,2005,28.681,6.244,4.177,73.9,68.852,71.3144390243903,0.627970665215506,100319.0,16400.0,16.34785035736,ton,East Asia & Pacific
Tonga,2006,28.67,6.235,4.144,74.148,68.887,71.4533414634146,0.636929006004776,100960.0,29872.0,29.5879556259905,ton,East Asia & Pacific
Tonga,2007,28.559,6.222,4.104,74.378,68.942,71.5937073170732,0.648644518921988,101617.0,30051.0,29.5728076994991,ton,East Asia & Pacific
Tonga,2008,28.348,6.205,4.059,74.593,69.018,71.737512195122,0.659129631230785,102289.0,46525.0,45.483874121362,ton,East Asia & Pacific
Tonga,2009,28.044,6.184,4.012,74.793,69.111,71.8827073170732,0.641215239538146,102947.0,50472.0,49.0271693201356,ton,East Asia & Pacific
Tonga,2010,27.65,6.16,3.963,74.982,69.222,72.031756097561,0.590789306013428,103557.0,53000.0,51.1795436329751,ton,East Asia & Pacific
Tonga,2011,27.176,6.132,3.914,75.159,69.348,72.1826341463415,0.521057739054889,104098.0,54300.0,52.162385444485,ton,East Asia & Pacific
Tonga,2012,26.636,6.101,3.864,75.328,69.485,72.335243902439,0.437092120840393,104554.0,55000.0,52.604395814603,ton,East Asia & Pacific
Tonga,2013,26.062,6.069,3.815,75.492,69.629,72.489,0.369460311907563,104941.0,56000.0,53.3633184360736,ton,East Asia & Pacific
