Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Trinidad and Tobago,1980,28.306,7.543,3.278,69.628,64.343,66.9210487804878,1.42139096715539,1069199.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1981,28.625,7.572,3.284,69.827,64.43,67.0626829268293,1.49540476729486,1085308.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1982,28.774,7.6,3.281,69.999,64.495,67.1798780487805,1.57727449089285,1102562.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1983,28.689,7.623,3.261,70.147,64.552,67.2812682926829,1.62366173147032,1120610.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1984,28.334,7.637,3.218,70.276,64.614,67.3759512195122,1.59903694035789,1138673.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1985,27.701,7.641,3.151,70.389,64.683,67.4664146341463,1.48435369717045,1155701.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1986,26.805,7.635,3.06,70.489,64.764,67.5566829268293,1.30954886868839,1170935.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1987,25.691,7.62,2.949,70.579,64.859,67.649243902439,1.11407240112474,1184053.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1988,24.449,7.601,2.827,70.665,64.96,67.7429268292683,0.940621301808153,1195243.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1989,23.167,7.583,2.7,70.751,65.062,67.8371219512195,0.80387644771629,1204890.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1990,21.905,7.568,2.574,70.842,65.159,67.9311951219512,0.722347223945611,1213625.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1991,20.707,7.56,2.453,70.946,65.239,68.0229024390244,0.679854921711958,1221904.0,0.0,0.0,tto,Latin America & Caribbean
Trinidad and Tobago,1992,19.6,7.561,2.339,71.068,65.294,68.1105853658537,0.652744577443863,1229906.0,426.0,0.0346367933809576,tto,Latin America & Caribbean
Trinidad and Tobago,1993,18.581,7.572,2.231,71.21,65.317,68.1916341463415,0.614415856567091,1237486.0,1277.0,0.103193086628859,tto,Latin America & Caribbean
Trinidad and Tobago,1994,17.655,7.594,2.131,71.367,65.309,68.2641219512195,0.557961974494101,1244410.0,1679.0,0.13492337734348,tto,Latin America & Caribbean
Trinidad and Tobago,1995,16.841,7.628,2.04,71.537,65.272,68.3280975609756,0.473479735533184,1250316.0,2599.0,0.20786745110836,tto,Latin America & Caribbean
Trinidad and Tobago,1996,16.16,7.674,1.961,71.712,65.214,68.383756097561,0.374005003050471,1255001.0,6353.0,0.506214736083876,tto,Latin America & Caribbean
Trinidad and Tobago,1997,15.625,7.733,1.896,71.882,65.144,68.4308292682927,0.267688988296601,1258365.0,9534.0,0.757649807488288,tto,Latin America & Caribbean
Trinidad and Tobago,1998,15.227,7.805,1.843,72.038,65.077,68.4726097560976,0.183561897672974,1260677.0,17140.0,1.35958695209003,tto,Latin America & Caribbean
