Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Tunisia,1980,36.627,8.946,5.488,62.127,59.983,61.0288536585366,2.70946697294591,6215690.0,0.0,0.0,tun,Middle East & North Africa
Tunisia,1981,36.13,8.498,5.349,63.242,60.865,62.024512195122,2.67181196256472,6384000.0,0.0,0.0,tun,Middle East & North Africa
Tunisia,1982,35.487,8.081,5.189,64.307,61.667,62.9548048780488,2.64614794006417,6555185.0,0.0,0.0,tun,Middle East & North Africa
Tunisia,1983,34.731,7.706,5.015,65.288,62.39,63.8036585365854,2.61966569757242,6729178.0,0.0,0.0,tun,Middle East & North Africa
Tunisia,1984,33.894,7.38,4.833,66.169,63.041,64.5668536585366,2.58124860159769,6905136.0,0.0,0.0,tun,Middle East & North Africa
Tunisia,1985,32.989,7.1,4.645,66.948,63.631,65.2490487804878,1.97048379548457,7042550.0,0.0,0.0,tun,Middle East & North Africa
Tunisia,1986,32.032,6.862,4.454,67.645,64.175,65.8676829268293,3.04592316236919,7260361.0,74.66666666666667,0.0009867147231976,tun,Middle East & North Africa
Tunisia,1987,31.039,6.655,4.265,68.293,64.694,66.4496097560976,3.14907190171622,7492633.0,149.33333333333334,0.0019734294463953,tun,Middle East & North Africa
Tunisia,1988,30.026,6.466,4.077,68.931,65.206,67.0230731707317,2.53177045493505,7684751.0,224.0,0.002960144169593,tun,Middle East & North Africa
Tunisia,1989,29.002,6.288,3.893,69.586,65.724,67.6079024390244,2.22456586561509,7857619.0,401.0,0.0051686740714045,tun,Middle East & North Africa
Tunisia,1990,27.976,6.114,3.714,70.265,66.253,68.2100731707317,1.27812817024686,7958694.0,636.0,0.0080017976365508,tun,Middle East & North Africa
Tunisia,1991,25.2,5.6,3.538,72.1,68.6,70.3073170731707,2.42927428285455,8154400.0,953.0,0.0117143776592436,tun,Middle East & North Africa
Tunisia,1992,24.9,5.6,3.363,72.3,68.8,70.5073170731707,1.98882264010002,8318200.0,1239.0,0.0148930853171849,tun,Middle East & North Africa
Tunisia,1993,24.9,5.5,3.188,72.6,69.0,70.7560975609756,2.04313364178067,8489900.0,1974.0,0.0232254830847536,tun,Middle East & North Africa
Tunisia,1994,24.0,5.7,3.013,72.7,68.9,70.7536585365854,1.95372248582552,8657400.0,2269.0,0.026164191196701,tun,Middle East & North Africa
Tunisia,1995,22.7,5.7,2.9,72.9,69.1,70.9536585365854,1.80857454691496,8815400.0,2709.0,0.0306652040039769,tun,Middle East & North Africa
Tunisia,1996,20.8,5.8,2.67,73.3,69.5,71.3536585365854,1.59909781786942,8957500.0,3185.0,0.0354572465204863,tun,Middle East & North Africa
Tunisia,1997,19.7,5.5,2.51,73.5,69.7,71.5536585365854,1.46067273264003,9089300.0,6500.0,0.0712983774573397,tun,Middle East & North Africa
Tunisia,1998,18.9,5.6,2.38,73.9,70.0,71.9024390243902,1.37346935984146,9215000.0,7656.0,0.0828818190350828,tun,Middle East & North Africa
Tunisia,1999,17.9,5.6,2.23,74.1,70.1,72.0512195121951,1.27560589503586,9333300.0,38998.0,0.417204647555788,tun,Middle East & North Africa
Tunisia,2000,16.9,5.6,2.09,74.6,70.5,72.5,1.305023523957,9455900.0,55258.0,0.584649114778943,tun,Middle East & North Africa
Tunisia,2001,17.1,5.6,2.08,74.7,70.6,72.6,1.13148835367365,9563500.0,119165.0,1.24743844093068,tun,Middle East & North Africa
Tunisia,2002,16.9,5.5,2.05,75.0,70.8,72.8487804878049,1.14467567545503,9673600.0,389208.0,4.03235765821395,tun,Middle East & North Africa
Tunisia,2003,16.7,5.8,2.0,75.1,71.0,73.0,1.11332136035985,9781900.0,574334.0,5.89082505234042,tun,Middle East & North Africa
Tunisia,2004,17.1,6.1,2.06,75.1,71.1,73.0512195121951,0.590164644774969,9839800.0,1917530.0,19.4726018431608,tun,Middle East & North Africa
Tunisia,2005,16.8,6.0,2.02,75.3,71.4,73.3024390243903,0.936675504286301,9932400.0,3735695.0,37.5546036343882,tun,Middle East & North Africa
Tunisia,2006,17.1,5.9,2.04,75.5,71.6,73.5024390243903,0.9678755408858,10029000.0,5680726.0,56.5170337283979,tun,Middle East & North Africa
Tunisia,2007,17.1,5.6,2.03,76.0,71.9,73.9,0.981309562931118,10127900.0,7339047.0,72.232986947261,tun,Middle East & North Africa
Tunisia,2008,17.4,5.5,2.04,76.2,72.3,74.2024390243903,0.955149009675997,10225100.0,7842619.0,76.3351266097537,tun,Middle East & North Africa
Tunisia,2009,17.7,5.8,2.06,76.3,72.4,74.3024390243903,1.01003096661581,10328900.0,8602164.0,82.7810913962042,tun,Middle East & North Africa
Tunisia,2010,17.7,5.7,2.05,76.5,72.5,74.4512195121951,1.06604760459401,10439600.0,9797026.0,93.2055547585224,tun,Middle East & North Africa
Tunisia,2011,18.6,5.7,2.13,76.6,72.7,74.6024390243903,1.04342806820235,10549100.0,11114206.0,104.537092861718,tun,Middle East & North Africa
Tunisia,2012,18.8,5.9,2.15,76.9,72.9,74.8512195121951,1.17515923917156,10673800.0,12387656.0,115.201077868624,tun,Middle East & North Africa
Tunisia,2013,19.0,6.1,2.17,77.2,73.1,75.1,0.966848702117276,10777500.0,12843889.0,118.105649561399,tun,Middle East & North Africa
