Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Turkey,1980,35.889,11.638,4.483,61.435,54.815,58.0442682926829,2.26072164320556,42912350.0,0.0,0.0,tur,Europe & Central Asia
Turkey,1981,35.21,11.263,4.361,62.153,55.395,58.6915853658537,2.28865387522067,43905790.0,0.0,0.0,tur,Europe & Central Asia
Turkey,1982,34.468,10.895,4.239,62.849,55.971,59.3261219512195,2.32116572493028,44936836.0,0.0,0.0,tur,Europe & Central Asia
Turkey,1983,33.642,10.533,4.114,63.518,56.545,59.9464634146342,2.33387535834162,45997940.0,0.0,0.0,tur,Europe & Central Asia
Turkey,1984,32.728,10.18,3.982,64.158,57.119,60.5526585365854,2.30945416225035,47072603.0,0.0,0.0,tur,Europe & Central Asia
Turkey,1985,31.741,9.84,3.844,64.768,57.691,61.1431951219512,2.2384699250929,48138191.0,0.0,0.0,tur,Europe & Central Asia
Turkey,1986,30.707,9.516,3.704,65.35,58.252,61.7144390243903,2.13721216803634,49178079.0,0.0,0.0,tur,Europe & Central Asia
Turkey,1987,29.659,9.212,3.563,65.905,58.793,62.2622682926829,2.03063399931918,50186914.0,365.0,0.000727281219164,tur,Europe & Central Asia
Turkey,1988,28.64,8.93,3.427,66.441,59.308,62.787512195122,1.93652979484652,51168270.0,5101.0,0.0099690687216902,tur,Europe & Central Asia
Turkey,1989,27.684,8.671,3.3,66.968,59.796,63.2945365853659,1.85365199177062,52125597.0,9846.0,0.0188889922929804,tur,Europe & Central Asia
Turkey,1990,26.813,8.433,3.183,67.494,60.263,63.7903170731707,1.78765385042593,53065801.0,15606.0,0.029408771197103,tur,Europe & Central Asia
Turkey,1991,26.045,8.213,3.078,68.027,60.716,64.2823414634146,1.73514623707423,53994605.0,31809.0,0.058911441244917,tur,Europe & Central Asia
Turkey,1992,25.386,8.007,2.987,68.58,61.167,64.7830975609756,1.68338017991266,54911233.0,47828.0,0.0871005755780425,tur,Europe & Central Asia
Turkey,1993,24.817,7.81,2.906,69.155,61.629,65.3002195121951,1.63278498547429,55815175.0,61395.0,0.10999696767053,tur,Europe & Central Asia
Turkey,1994,24.316,7.618,2.835,69.748,62.114,65.8379024390244,1.59589627120648,56713073.0,84187.0,0.148443728309344,tur,Europe & Central Asia
Turkey,1995,23.87,7.429,2.772,70.358,62.628,66.3987317073171,1.57511426425278,57613441.0,174779.0,0.303364973461661,tur,Europe & Central Asia
Turkey,1996,23.462,7.242,2.715,70.975,63.179,66.9819268292683,1.56523287578074,58522320.0,437130.0,0.746945780686753,tur,Europe & Central Asia
Turkey,1997,23.072,7.056,2.661,71.588,63.775,67.5862195121951,1.56012724583214,59442502.0,806339.0,1.35650245677748,tur,Europe & Central Asia
Turkey,1998,22.685,6.876,2.609,72.182,64.407,68.1996829268293,1.55227698030341,60372413.0,1609809.0,2.66646456552929,tur,Europe & Central Asia
Turkey,1999,22.29,6.705,2.557,72.749,65.063,68.8122682926829,1.53814053990534,61308204.0,3506127.0,5.71885452720161,tur,Europe & Central Asia
Turkey,2000,21.881,6.543,2.506,73.284,65.731,69.4153902439025,1.51449270154681,62243779.0,8121517.0,13.0479176079589,tur,Europe & Central Asia
Turkey,2001,21.456,6.396,2.454,73.784,66.393,69.9983658536586,1.48418750158989,63174483.0,16133405.0,25.5378504640869,tur,Europe & Central Asia
Turkey,2002,21.021,6.265,2.404,74.254,67.026,70.5518536585366,1.45485276773908,64100297.0,19572897.0,30.5347992381377,tur,Europe & Central Asia
Turkey,2003,20.591,6.153,2.356,74.702,67.617,71.0730975609756,1.42812906800575,65022300.0,23323118.0,35.8694140318014,tur,Europe & Central Asia
Turkey,2004,20.176,6.059,2.311,75.135,68.155,71.5598780487805,1.39886375175356,65938265.0,27887535.0,42.2934012594963,tur,Europe & Central Asia
Turkey,2005,19.779,5.983,2.27,75.555,68.636,72.0111219512195,1.36670804797466,66845635.0,34707549.0,51.9219377600347,tur,Europe & Central Asia
Turkey,2006,19.403,5.923,2.234,75.962,69.063,72.4283658536586,1.33358950167394,67743052.0,43608965.0,64.3740778021043,tur,Europe & Central Asia
Turkey,2007,19.047,5.875,2.202,76.355,69.445,72.8157317073171,1.29544813404151,68626337.0,52662700.0,76.7383227812378,tur,Europe & Central Asia
Turkey,2008,18.706,5.837,2.173,76.734,69.799,73.1819268292683,1.26001963144658,69496513.0,61975807.0,89.1782973341411,tur,Europe & Central Asia
Turkey,2009,18.377,5.805,2.147,77.096,70.142,73.5341951219512,1.23982404858369,70363511.0,65824110.0,93.5486434154771,tur,Europe & Central Asia
Turkey,2010,18.058,5.776,2.123,77.442,70.48,73.8760975609756,1.23947991929857,71241080.0,62779554.0,88.1226870788596,tur,Europe & Central Asia
Turkey,2011,17.746,5.751,2.101,77.773,70.819,74.2111951219512,1.25050393789875,72137546.0,61769635.0,85.6275801231165,tur,Europe & Central Asia
Turkey,2012,17.439,5.729,2.08,78.09,71.16,74.5404878048781,1.26877212734919,73058638.0,65321745.0,89.4100229462257,tur,Europe & Central Asia
Turkey,2013,17.135,5.713,2.06,78.393,71.5,74.8624390243903,1.27639026587124,73997128.0,67680547.0,91.463748430885,tur,Europe & Central Asia
