Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
United Arab Emirates,1980,29.429,4.358,5.517,69.149,65.924,67.4971707317073,11.2959554038646,926112.0,2625582.5,83.06529824233785,are,Middle East & North Africa
United Arab Emirates,1981,29.681,4.143,5.423,69.592,66.451,67.9831951219512,9.14762851615648,1014825.0,1751165.0,55.44406485346969,are,Middle East & North Africa
United Arab Emirates,1982,29.958,3.958,5.344,70.013,66.952,68.4451707317073,7.20668337485916,1090660.0,876747.5,27.82283146460153,are,Middle East & North Africa
United Arab Emirates,1983,30.186,3.797,5.274,70.413,67.428,68.8840975609756,5.79794448030388,1155765.0,2330.0,0.201598075733389,are,Middle East & North Africa
United Arab Emirates,1984,30.299,3.652,5.209,70.793,67.881,69.3014878048781,5.02943227085088,1215380.0,3564.0,0.293241619904886,are,Middle East & North Africa
United Arab Emirates,1985,30.244,3.518,5.141,71.155,68.311,69.6983170731707,4.96916899707746,1277300.0,4936.0,0.386440147185469,are,Middle East & North Africa
United Arab Emirates,1986,29.979,3.391,5.065,71.499,68.722,70.0766341463415,5.32932503952038,1347218.0,7924.0,0.588175039228989,are,Middle East & North Africa
United Arab Emirates,1987,29.481,3.265,4.973,71.827,69.112,70.4363902439024,5.7473045736731,1426915.0,11191.0,0.784279371931755,are,Middle East & North Africa
United Arab Emirates,1988,28.788,3.14,4.86,72.138,69.483,70.7781219512195,5.97673255397911,1514798.0,13711.0,0.905137186608379,are,Middle East & North Africa
United Arab Emirates,1989,27.941,3.016,4.724,72.435,69.838,71.1048292682927,6.04364213775192,1609170.0,13823.0,0.859014274439618,are,Middle East & North Africa
United Arab Emirates,1990,26.967,2.893,4.566,72.72,70.178,71.418,5.9068719418658,1707085.0,24946.0,1.46132149248573,are,Middle East & North Africa
United Arab Emirates,1991,25.892,2.769,4.388,72.996,70.506,71.7206341463415,5.66029269572455,1806498.0,33578.0,1.85873441321275,are,Middle East & North Africa
United Arab Emirates,1992,24.746,2.649,4.193,73.263,70.824,72.013756097561,5.4666456751832,1908002.0,43008.0,2.25408568754121,are,Middle East & North Africa
United Arab Emirates,1993,23.566,2.534,3.989,73.524,71.133,72.2993414634146,5.35580996160684,2012977.0,48919.0,2.43018176561381,are,Middle East & North Africa
United Arab Emirates,1994,22.396,2.427,3.784,73.779,71.434,72.5779024390244,5.23403734780241,2121143.0,70586.0,3.32773415087997,are,Middle East & North Africa
United Arab Emirates,1995,21.275,2.328,3.583,74.031,71.729,72.8519268292683,5.10141842033339,2232159.0,91488.0,4.09863275868789,are,Middle East & North Africa
United Arab Emirates,1996,20.238,2.239,3.393,74.281,72.018,73.1219024390244,4.98724717650558,2346305.0,128968.0,5.49664259335423,are,Middle East & North Africa
United Arab Emirates,1997,19.309,2.16,3.215,74.529,72.301,73.3878292682927,5.17042817974985,2470810.0,193834.0,7.84495772641361,are,Middle East & North Africa
United Arab Emirates,1998,18.488,2.089,3.052,74.774,72.579,73.6497317073171,5.44182910271223,2608993.0,309373.0,11.8579467250391,are,Middle East & North Africa
United Arab Emirates,1999,17.778,2.023,2.902,75.015,72.849,73.9055853658537,5.39077802411736,2753498.0,493278.0,17.9145944540363,are,Middle East & North Africa
United Arab Emirates,2000,17.189,1.96,2.766,75.254,73.114,74.1579024390244,4.96458864791874,2893648.0,832267.0,28.7618604612586,are,Middle East & North Africa
United Arab Emirates,2001,16.738,1.896,2.644,75.49,73.373,74.4056829268293,4.48399439316341,3026352.0,1428115.0,47.1893223260216,are,Middle East & North Africa
United Arab Emirates,2002,16.438,1.826,2.532,75.722,73.628,74.6494634146342,3.43470494140018,3132104.0,1909303.0,60.9591188542909,are,Middle East & North Africa
United Arab Emirates,2003,16.274,1.747,2.428,75.951,73.878,74.8892195121951,2.89082260168635,3223969.0,2428071.0,75.3131000949451,are,Middle East & North Africa
United Arab Emirates,2004,16.218,1.661,2.329,76.175,74.124,75.1244878048781,4.40781456607241,3369254.0,2972331.0,88.2192615932192,are,Middle East & North Africa
United Arab Emirates,2005,16.24,1.568,2.236,76.396,74.365,75.3557317073171,8.24050586336869,3658658.0,3683117.0,100.668523813923,are,Middle East & North Africa
United Arab Emirates,2006,16.302,1.471,2.149,76.613,74.6,75.5819512195122,12.5742727879006,4148883.0,4534143.0,109.285872848186,are,Middle East & North Africa
United Arab Emirates,2007,16.365,1.375,2.071,76.824,74.825,75.8001219512195,16.1412031396103,4875639.0,5519293.0,113.201428571722,are,Middle East & North Africa
United Arab Emirates,2008,16.395,1.285,2.004,77.031,75.04,76.0112195121951,17.3149226330611,5797347.0,7731508.0,133.362864082485,are,Middle East & North Africa
United Arab Emirates,2009,16.357,1.207,1.948,77.233,75.245,76.214756097561,15.9321457624249,6798635.0,9357735.0,137.641379482793,are,Middle East & North Africa
United Arab Emirates,2010,16.224,1.143,1.903,77.431,75.439,76.4107073170732,12.6874737474651,7718319.0,10671878.0,138.266868731391,are,Middle East & North Africa
United Arab Emirates,2011,15.969,1.095,1.868,77.623,75.623,76.5986097560976,8.9567806820205,8441537.0,10926019.0,129.431630756342,are,Middle East & North Africa
United Arab Emirates,2012,15.578,1.062,1.841,77.81,75.801,76.781,5.5702682877602,8925096.0,11727401.0,131.398037623349,are,Middle East & North Africa
United Arab Emirates,2013,15.069,1.042,1.82,77.992,75.973,76.9578780487805,3.09504507074126,9205651.0,13775252.0,149.639085818048,are,Middle East & North Africa
