Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Uruguay,1980,19.596,10.012,2.787,73.521,66.683,70.0186097560976,0.692895313533359,2896016.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1981,19.219,9.963,2.724,73.802,66.938,70.2862926829268,0.678593273172534,2915735.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1982,18.877,9.917,2.665,74.088,67.198,70.5589756097561,0.658041043264976,2934985.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1983,18.589,9.88,2.614,74.376,67.456,70.8316097560976,0.653773005586558,2954236.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1984,18.369,9.856,2.574,74.659,67.703,71.0961707317073,0.647811388534602,2973436.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1985,18.224,9.844,2.546,74.934,67.934,71.3486341463415,0.643909111732551,2992644.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1986,18.155,9.842,2.53,75.197,68.142,71.5834634146342,0.641980753846593,3011918.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1987,18.15,9.844,2.523,75.449,68.322,71.7985853658537,0.63329987695486,3031053.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1988,18.184,9.844,2.523,75.691,68.48,71.9975609756098,0.622724441414145,3049987.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1989,18.229,9.836,2.524,75.927,68.621,72.1849024390244,0.625094062853338,3069112.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1990,18.267,9.818,2.523,76.157,68.752,72.3641951219512,0.645267038455128,3088980.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1991,18.276,9.788,2.518,76.381,68.881,72.5395365853659,0.676281562185739,3109941.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1992,18.239,9.747,2.506,76.602,69.021,72.7190487804878,0.704758874234763,3131936.0,0.0,0.0,ury,Latin America & Caribbean
Uruguay,1993,18.154,9.698,2.487,76.821,69.18,72.9073170731707,0.722843006738819,3154657.0,1712.0,0.0542689744083113,ury,Latin America & Caribbean
Uruguay,1994,18.02,9.647,2.463,77.038,69.362,73.1063902439024,0.733044325868268,3177867.0,4969.0,0.156362742682434,ury,Latin America & Caribbean
Uruguay,1995,17.838,9.596,2.432,77.254,69.568,73.3172682926829,0.732645583244477,3201235.0,6825.0,0.213198968523086,ury,Latin America & Caribbean
Uruguay,1996,17.617,9.548,2.398,77.468,69.798,73.5394634146342,0.720494126372796,3224383.0,39904.0,1.23757010255916,ury,Latin America & Caribbean
Uruguay,1997,17.369,9.507,2.362,77.679,70.043,73.7678780487805,0.717002908538163,3247585.0,78601.0,2.42029076991056,ury,Latin America & Caribbean
Uruguay,1998,17.112,9.474,2.327,77.885,70.294,73.9969268292683,0.704621752541593,3270549.0,99235.0,3.03420006855118,ury,Latin America & Caribbean
Uruguay,1999,16.861,9.449,2.295,78.087,70.543,74.223,0.643930062916919,3291677.0,151341.0,4.59768683257805,ury,Latin America & Caribbean
Uruguay,2000,16.624,9.432,2.267,78.284,70.786,74.4435609756098,0.521381106221815,3308884.0,319131.0,9.64467173826583,ury,Latin America & Caribbean
Uruguay,2001,16.406,9.421,2.243,78.478,71.024,74.6600975609756,0.360709168615126,3320841.0,410787.0,12.3699689325686,ury,Latin America & Caribbean
Uruguay,2002,16.205,9.413,2.223,78.669,71.257,74.8726097560976,0.178139445625498,3326762.0,519991.0,15.6305440545491,ury,Latin America & Caribbean
Uruguay,2003,16.014,9.404,2.205,78.861,71.491,75.0861219512195,0.022181272785049,3327500.0,513528.0,15.4328474830954,ury,Latin America & Caribbean
Uruguay,2004,15.829,9.391,2.188,79.051,71.727,75.2996829268293,-0.0627995795721576,3325411.0,497530.0,14.9614588993661,ury,Latin America & Caribbean
Uruguay,2005,15.65,9.374,2.171,79.24,71.964,75.5132682926829,-0.0477949871887098,3323822.0,599768.0,18.0445282569283,ury,Latin America & Caribbean
Uruguay,2006,15.479,9.356,2.155,79.425,72.197,75.7228536585366,0.0400963943132718,3325155.0,1154923.0,34.7329071877852,ury,Latin America & Caribbean
Uruguay,2007,15.317,9.339,2.138,79.602,72.423,75.9249512195122,0.152117747170677,3330217.0,2330011.0,69.965740971234,ury,Latin America & Caribbean
Uruguay,2008,15.166,9.325,2.122,79.768,72.638,76.1160487804878,0.244939053428705,3338384.0,3004323.0,89.9933321031972,ury,Latin America & Caribbean
Uruguay,2009,15.026,9.319,2.107,79.923,72.84,76.2951219512195,0.314447892680874,3348898.0,3507816.0,104.745381913692,ury,Latin America & Caribbean
Uruguay,2010,14.898,9.318,2.093,80.066,73.028,76.4611707317073,0.343790306279875,3360431.0,4111560.0,122.352162564861,ury,Latin America & Caribbean
Uruguay,2011,14.78,9.323,2.08,80.198,73.205,76.6162195121951,0.343146248881466,3371982.0,4437158.0,131.589017972219,ury,Latin America & Caribbean
Uruguay,2012,14.672,9.331,2.068,80.323,73.375,76.7642682926829,0.340583690730765,3383486.0,4757425.0,140.607202157775,ury,Latin America & Caribbean
Uruguay,2013,14.571,9.34,2.056,80.443,73.541,76.9078292682927,0.347174063463785,3395253.0,4995459.0,147.13068510653,ury,Latin America & Caribbean
