Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Vietnam,1980,32.47,7.511,5.232,71.35,62.413,66.7725121951219,2.18833845526994,52574000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1981,32.144,7.211,5.046,71.963,63.119,67.4331463414634,2.11913005539271,53700000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1982,31.864,7.075,4.865,72.345,63.525,67.8274390243902,1.88528208391541,54722000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1983,31.608,7.02,4.691,72.611,63.779,68.0872926829268,1.7480904161101,55687000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1984,31.352,6.98,4.521,72.854,64.005,68.3215853658537,1.72335183174556,56655000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1985,31.08,6.931,4.359,73.108,64.246,68.5689268292683,1.81382708887339,57692000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1986,30.789,6.856,4.205,73.396,64.526,68.8528292682927,2.01791335806027,58868000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1987,30.48,6.755,4.063,73.72,64.847,69.1752926829268,2.31883254207842,60249000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1988,30.15,6.642,3.931,74.062,65.18,69.5126829268293,2.46080007854359,61750000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1989,29.778,6.531,3.806,74.406,65.505,69.8469512195122,2.4206664577245,63263000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1990,29.336,6.42,3.684,74.753,65.822,70.1785853658537,2.36036481888689,64774000.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1991,28.752,6.307,3.558,75.105,66.134,70.5100975609756,1.90034520484871,66016700.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1992,27.948,6.193,3.416,75.461,66.44,70.8404878048781,1.83962606206029,67242400.0,0.0,0.0,vnm,East Asia & Pacific
Vietnam,1993,26.901,6.076,3.255,75.82,66.743,71.1708048780488,1.78010117104801,68450100.0,800.0,0.0011126688784484,vnm,East Asia & Pacific
Vietnam,1994,25.626,5.959,3.074,76.177,67.042,71.4980975609756,1.72987181941739,69644500.0,4060.0,0.0055341203052326,vnm,East Asia & Pacific
Vietnam,1995,24.173,5.844,2.878,76.532,67.337,71.8223658536585,1.68012551896392,70824500.0,12500.0,0.0167229527811374,vnm,East Asia & Pacific
Vietnam,1996,22.636,5.736,2.676,76.881,67.63,72.1426829268293,1.6398631025265,71995500.0,23500.0,0.0309129001676571,vnm,East Asia & Pacific
Vietnam,1997,21.136,5.637,2.482,77.224,67.921,72.4590487804878,1.6000098826845,73156700.0,68910.0,0.0892999772065404,vnm,East Asia & Pacific
Vietnam,1998,19.788,5.552,2.309,77.558,68.208,72.7689756097561,1.56000982785621,74306900.0,160457.0,0.205189936978171,vnm,East Asia & Pacific
Vietnam,1999,18.677,5.483,2.166,77.88,68.489,73.0699756097561,1.53498665657181,75456300.0,222700.0,0.281397440665637,vnm,East Asia & Pacific
Vietnam,2000,17.846,5.432,2.057,78.188,68.761,73.3595365853659,1.50003141446132,76596700.0,328671.0,0.410697464938343,vnm,East Asia & Pacific
Vietnam,2001,17.306,5.398,1.983,78.477,69.016,73.6311219512195,1.3411548927936,77630900.0,788559.0,0.974879066862416,vnm,East Asia & Pacific
Vietnam,2002,17.031,5.383,1.94,78.743,69.248,73.8797073170732,1.26732955161193,78621000.0,1251195.0,1.53091136770837,vnm,East Asia & Pacific
Vietnam,2003,16.93,5.383,1.918,78.985,69.452,74.102243902439,1.16048563454648,79538700.0,1902388.0,2.30459287760497,vnm,East Asia & Pacific
Vietnam,2004,16.916,5.395,1.907,79.203,69.629,74.299243902439,1.16208651059802,80468400.0,2742000.0,3.2896396326953,vnm,East Asia & Pacific
Vietnam,2005,16.943,5.415,1.902,79.398,69.784,74.473756097561,1.19737499790273,81437700.0,4960000.0,5.89419088391841,vnm,East Asia & Pacific
Vietnam,2006,16.967,5.442,1.897,79.569,69.922,74.6278536585366,1.16682395556989,82393500.0,9593200.0,11.2930459972078,vnm,East Asia & Pacific
Vietnam,2007,16.955,5.473,1.889,79.719,70.054,74.7686341463415,1.10980491124798,83313000.0,18892480.0,22.0326568811673,vnm,East Asia & Pacific
Vietnam,2008,16.902,5.507,1.877,79.85,70.19,74.9021951219512,1.08408842578278,84221100.0,45024048.0,52.0189287973301,vnm,East Asia & Pacific
Vietnam,2009,16.803,5.541,1.862,79.967,70.338,75.0350731707317,1.06435622258529,85122300.0,74872310.0,85.6964553058816,vnm,East Asia & Pacific
Vietnam,2010,16.646,5.576,1.843,80.074,70.501,75.170756097561,1.05489057785699,86025000.0,98223980.0,111.36506047727,vnm,East Asia & Pacific
Vietnam,2011,16.428,5.61,1.82,80.174,70.681,75.3117317073171,1.04940037653285,86932500.0,111570201.0,125.293051519518,vnm,East Asia & Pacific
Vietnam,2012,16.157,5.643,1.794,80.271,70.874,75.4579024390244,1.03850223123478,87840000.0,127318045.0,141.599870213696,vnm,East Asia & Pacific
Vietnam,2013,15.854,5.676,1.768,80.366,71.074,75.6066829268293,1.0564445479776,88772900.0,134066000.0,147.656660080714,vnm,East Asia & Pacific
