Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Zambia,1980,46.808,14.91,7.259,53.127,49.641,51.3414878048781,3.24953484588502,5660893.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1981,46.33,14.943,7.182,52.936,49.447,51.1489512195122,3.23882724408982,5847241.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1982,45.846,15.053,7.098,52.594,49.126,50.8177073170732,3.2263707132083,6038971.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1983,45.389,15.242,7.015,52.102,48.683,50.3508048780488,3.20013998369544,6235352.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1984,44.988,15.508,6.937,51.472,48.131,49.760756097561,3.1533901887451,6435110.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1985,44.657,15.844,6.865,50.718,47.489,49.0641219512195,3.08248220342864,6636560.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1986,44.401,16.246,6.799,49.853,46.772,48.2749268292683,2.9958859324342,6838392.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1987,44.213,16.708,6.737,48.891,45.998,47.4092195121951,2.91686156823328,7040796.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1988,44.076,17.216,6.673,47.863,45.194,46.4959512195122,2.84409882841886,7243918.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1989,43.977,17.748,6.606,46.81,44.392,45.571512195122,2.7578948687077,7446478.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1990,43.915,18.281,6.537,45.771,43.621,44.6697804878049,2.65606065119841,7646911.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1991,43.905,18.8,6.468,44.78,42.906,43.8201463414634,2.55129134911109,7844516.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1992,43.967,19.296,6.401,43.861,42.261,43.0414878048781,2.43949671990397,8038236.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1993,44.107,19.757,6.34,43.031,41.691,42.3446585365854,2.35131730842832,8229480.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1994,44.319,20.164,6.288,42.311,41.209,41.7465609756098,2.32501159994254,8423058.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1995,44.582,20.494,6.245,41.734,40.836,41.2740487804878,2.37473205188678,8625477.0,0.0,0.0,zmb,Sub-Saharan Africa
Zambia,1996,44.866,20.717,6.209,41.324,40.589,40.9475365853659,2.47179569262094,8841338.0,1547.0,0.0174973516451922,zmb,Sub-Saharan Africa
Zambia,1997,45.133,20.809,6.179,41.099,40.479,40.7814390243902,2.58990244645287,9073311.0,2721.0,0.0299890525079544,zmb,Sub-Saharan Africa
Zambia,1998,45.348,20.761,6.152,41.058,40.507,40.7757804878049,2.68349308813696,9320089.0,4550.0,0.0488192762966105,zmb,Sub-Saharan Africa
Zambia,1999,45.484,20.572,6.126,41.202,40.68,40.9346341463415,2.72426445894893,9577483.0,8260.0,0.0862439536567175,zmb,Sub-Saharan Africa
Zambia,2000,45.527,20.241,6.098,41.536,41.006,41.2645365853659,2.69574500263053,9839179.0,28190.0,0.286507644591078,zmb,Sub-Saharan Africa
Zambia,2001,45.465,19.768,6.071,42.072,41.508,41.7831219512195,2.62602752194744,10100981.0,98853.0,0.978647519483504,zmb,Sub-Saharan Africa
Zambia,2002,45.3,19.159,6.044,42.819,42.209,42.5065609756098,2.55259418476306,10362137.0,121200.0,1.16964290281049,zmb,Sub-Saharan Africa
Zambia,2003,45.059,18.438,6.018,43.766,43.104,43.4269268292683,2.50910360916915,10625423.0,139092.0,1.30904906091739,zmb,Sub-Saharan Africa
Zambia,2004,44.771,17.639,5.995,44.889,44.173,44.5222682926829,2.50102929472212,10894519.0,241000.0,2.21212152642994,zmb,Sub-Saharan Africa
Zambia,2005,44.456,16.788,5.974,46.164,45.385,45.765,2.53880013686989,11174650.0,464354.0,4.15542321236012,zmb,Sub-Saharan Africa
Zambia,2006,44.145,15.914,5.954,47.576,46.702,47.1283414634146,2.60890290878798,11470022.0,949559.0,8.27861533308306,zmb,Sub-Saharan Africa
Zambia,2007,43.867,15.04,5.932,49.113,48.082,48.5849268292683,2.68031617801579,11781612.0,1663328.0,14.1180001514224,zmb,Sub-Saharan Africa
Zambia,2008,43.636,14.181,5.908,50.748,49.48,50.0985365853659,2.74601670803934,12109620.0,2639026.0,21.792806050066,zmb,Sub-Saharan Africa
Zambia,2009,43.454,13.356,5.881,52.435,50.848,51.6221463414634,2.8244564517054,12456527.0,3539003.0,28.4108323291075,zmb,Sub-Saharan Africa
